latent_dim,intermediate_dim,batch_size,epochs,contamination,precision,recall,f1_score,auc,training_time
16,256,256,30,0.05,0.8561368209255533,0.30392857142857144,0.448603057459146,0.7842345264668368,19.02010703086853
16,256,256,30,0.1,0.8063132612798078,0.41964285714285715,0.5519995302131657,0.7735412707270408,18.034382104873657
32,64,128,20,0.01,0.8813559322033898,0.065,0.1210710128055879,0.7707630500637754,11.958133220672607
32,64,128,20,0.05,0.8575301947251663,0.310625,0.4560529592973717,0.789470455994898,11.980169296264648
32,64,128,20,0.1,0.7995337995337995,0.398125,0.5315610657447696,0.7740936941964286,14.688809394836426
32,64,128,30,0.01,0.8804483188044832,0.063125,0.11780388236274265,0.7695937021683672,21.138001680374146
32,64,128,30,0.05,0.8600883652430045,0.31285714285714283,0.45881890794814717,0.7804633370535714,20.063810110092163
32,64,128,30,0.1,0.7952002887044388,0.39348214285714284,0.5264603989965356,0.7955308514030613,20.080695152282715
32,64,256,20,0.01,0.8863134657836644,0.07169642857142858,0.13266149017016354,0.7764980309311225,8.942857503890991
32,64,256,20,0.05,0.8015710382513661,0.20955357142857142,0.3322480181200453,0.7403201849489796,9.70827341079712
32,64,256,20,0.1,0.8030355896720167,0.41098214285714285,0.5437042286794236,0.7769064732142857,12.48613953590393
32,64,256,30,0.01,0.8920392584514721,0.07303571428571429,0.13501691837913676,0.7835838010204081,12.11628270149231
32,64,256,30,0.05,0.8610772605410675,0.31544642857142857,0.4617395281970855,0.7879658880739796,11.655284881591797
32,64,256,30,0.1,0.7975027144408252,0.39348214285714284,0.5269640081310535,0.7762050621811224,11.686588287353516
32,128,128,20,0.01,0.8800959232613909,0.06553571428571428,0.12198770151238159,0.7732255899234693,14.392477035522461
32,128,128,20,0.05,0.8613787991104522,0.31125,0.45727028267855974,0.7955939333545918,14.573724746704102
32,128,128,20,0.1,0.7998594271657002,0.4064285714285714,0.5389852584216447,0.7678964524872449,16.046281576156616
32,128,128,30,0.01,0.8886438809261301,0.07196428571428572,0.13314611381845212,0.778374497767857,22.022013187408447
32,128,128,30,0.05,0.8595797280593325,0.31044642857142857,0.45614955723187933,0.7900386878188774,21.50648808479309
32,128,128,30,0.1,0.8017534442655215,0.4000892857142857,0.5338018940973256,0.7917874521683673,20.139610290527344
32,128,256,20,0.01,0.8880351262349067,0.07223214285714286,0.13359755594088019,0.7759981425382654,9.867366552352905
32,128,256,20,0.05,0.8592447278077489,0.31285714285714283,0.4586987825631627,0.7895530612244898,9.712372064590454
32,128,256,20,0.1,0.8027150916784203,0.40651785714285715,0.5397107633949739,0.774093678252551,11.351869821548462
32,128,256,30,0.01,0.8845700824499411,0.06705357142857143,0.12465764793758818,0.8033074617346938,17.048408031463623
32,128,256,30,0.05,0.8574282147315855,0.30660714285714286,0.45169352186780665,0.7882688775510204,20.694950103759766
32,128,256,30,0.1,0.797892888498683,0.4057142857142857,0.5379106244451021,0.771945559630102,18.555760622024536
32,256,128,20,0.01,0.8794749403341289,0.06580357142857143,0.12244558896826715,0.7621978156887756,25.654330253601074
32,256,128,20,0.05,0.8644927536231884,0.31955357142857144,0.4666232073011734,0.7826282844387755,22.197646856307983
32,256,128,20,0.1,0.8026984405116524,0.40901785714285716,0.5419057195244573,0.7907648915816327,23.270084857940674
32,256,128,30,0.01,0.8792899408284024,0.06633928571428571,0.12337069323370693,0.7810975366709183,28.191778421401978
32,256,128,30,0.05,0.8570022151119863,0.31089285714285714,0.4562667889667824,0.778932421875,25.506307363510132
32,256,128,30,0.1,0.7978590544157003,0.3992857142857143,0.5322225528116632,0.7855224649234693,29.65318465232849
32,256,256,20,0.01,0.8843537414965986,0.06964285714285715,0.12911769574573745,0.7833861049107143,15.067432165145874
32,256,256,20,0.05,0.8566112627139667,0.30830357142857145,0.45341737246405356,0.7796989078443878,15.60774040222168
32,256,256,20,0.1,0.8051096150526498,0.4164285714285714,0.548931913140705,0.7915472257653061,17.089432954788208
32,256,256,30,0.01,0.8902439024390244,0.07169642857142858,0.13270533796066766,0.7819684151785715,22.56931447982788
32,256,256,30,0.05,0.8587360594795539,0.309375,0.4548736462093863,0.7861512914540818,22.205742835998535
32,256,256,30,0.1,0.8049460118425635,0.41267857142857145,0.5456262542793059,0.7713257732780613,21.832136392593384
64,64,128,20,0.01,0.8772782503037667,0.06446428571428571,0.12010313565665807,0.7955026227678572,14.720219850540161
64,64,128,20,0.05,0.8143364546335163,0.22517857142857142,0.3528012869832832,0.76264453125,15.173056364059448
64,64,128,20,0.1,0.8003889674681753,0.40419642857142857,0.5371381110583768,0.7769266183035715,13.593372106552124
64,64,128,30,0.01,0.8855218855218855,0.07044642857142858,0.1305102969150608,0.7736752630739795,20.2768657207489
64,64,128,30,0.05,0.8613787991104522,0.31125,0.45727028267855974,0.7955917649872448,19.245622634887695
64,64,128,30,0.1,0.8021052631578948,0.4082142857142857,0.5410650887573965,0.7817471460459184,18.458040714263916
64,64,256,20,0.01,0.8772782503037667,0.06446428571428571,0.12010313565665807,0.7956062340561224,8.87081003189087
64,64,256,20,0.05,0.8592209072978304,0.3111607142857143,0.4568694284216046,0.8044706393494898,12.97592282295227
64,64,256,20,0.1,0.7953068592057762,0.39339285714285716,0.5264038231780167,0.795583808992347,12.231789827346802
64,64,256,30,0.01,0.8772782503037667,0.06446428571428571,0.12010313565665807,0.7955843670280611,14.426116943359375
64,64,256,30,0.05,0.8588926996570309,0.3130357142857143,0.4588404659076037,0.7875046635841837,14.183598756790161
64,64,256,30,0.1,0.7953438007579859,0.39348214285714284,0.5264918463652112,0.7956097417091836,13.081387042999268
64,128,128,20,0.01,0.8772782503037667,0.06446428571428571,0.12010313565665807,0.7957038584183673,14.905592203140259
64,128,128,20,0.05,0.8613445378151261,0.3111607142857143,0.4571690935327299,0.7956637515943876,15.969741582870483
64,128,128,20,0.1,0.7954545454545454,0.39375,0.5267558528428093,0.795567115752551,16.18421769142151
64,128,128,30,0.01,0.8772782503037667,0.06446428571428571,0.12010313565665807,0.7954912388392856,20.584583520889282
64,128,128,30,0.05,0.8539553752535497,0.3007142857142857,0.44479661912308505,0.7690173389668368,20.81681728363037
64,128,128,30,0.1,0.7953438007579859,0.39348214285714284,0.5264918463652112,0.7956285315688776,21.990986347198486
64,128,256,20,0.01,0.8898582333696837,0.07285714285714286,0.13468680366427332,0.7755745057397959,11.582526683807373
64,128,256,20,0.05,0.8613787991104522,0.31125,0.45727028267855974,0.7956962292729591,10.24976396560669
64,128,256,20,0.1,0.795380728978708,0.39357142857142857,0.5265798590371521,0.7956033482142857,10.260655164718628
64,128,256,30,0.01,0.8860619469026548,0.07151785714285715,0.1323529411764706,0.760296619897959,13.969506025314331
64,128,256,30,0.05,0.8613787991104522,0.31125,0.45727028267855974,0.7955967554209185,13.940398454666138
64,128,256,30,0.1,0.7954873646209386,0.39348214285714284,0.5265232974910394,0.7955663743622449,20.41216802597046
64,256,128,20,0.01,0.8745341614906832,0.06285714285714286,0.1172844648063307,0.7771986288265307,25.40903949737549
64,256,128,20,0.05,0.8589995095635116,0.31276785714285715,0.4585678753763582,0.7673307397959184,21.414217948913574
64,256,128,20,0.1,0.7954545454545454,0.39375,0.5267558528428093,0.7957025510204082,19.389361143112183
64,256,128,30,0.01,0.8772782503037667,0.06446428571428571,0.12010313565665807,0.7955593590561224,27.501037120819092
64,256,128,30,0.05,0.8567955263797714,0.31464285714285717,0.46026252204009666,0.7732337452168367,27.357937335968018
64,256,128,30,0.1,0.7997890666197925,0.40625,0.5388122446562852,0.7516293287627551,27.59846591949463
64,256,256,20,0.01,0.8801897983392646,0.06625,0.12322511002241966,0.7712423549107144,14.976257801055908
64,256,256,20,0.05,0.8612759643916914,0.3109821428571429,0.45696667541327735,0.7954827487244898,14.952498197555542
64,256,256,20,0.1,0.7955611692529773,0.3936607142857143,0.5266993190777685,0.7956114158163266,14.605259656906128
64,256,256,30,0.01,0.8772782503037667,0.06446428571428571,0.12010313565665807,0.7956301339285714,30.49796986579895
64,256,256,30,0.05,0.8583959899749374,0.30580357142857145,0.4509545753785385,0.766150422512755,25.754696130752563
64,256,256,30,0.1,0.7954545454545454,0.39375,0.5267558528428093,0.795666908482143,13.877864360809326
